Default schedule
Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
693	0.346320	139	0.007194	168	0.660714	0.900342	693	0.346320	0.352000	0.316603	
711	0.285513	147	0.068027	142	0.612676	0.900342	711	0.285513	0.300000	0.316582	
717	0.357043	141	0.014184	142	0.640845	0.900342	717	0.357043	0.349000	0.316623	
722	0.314404	123	0.073171	155	0.709677	0.900342	722	0.314404	0.346000	0.316661	
695	0.356835	148	0.033784	157	0.687898	0.900342	695	0.356835	0.361000	0.316717	
706	0.327195	143	0.083916	151	0.695364	0.900342	706	0.327195	0.348000	0.316757	
739	0.323410	125	0.000000	136	0.727941	0.900342	739	0.323410	0.338000	0.316784	
769	0.330299	104	0.009615	127	0.795276	0.900342	769	0.330299	0.356000	0.316834	
741	0.276653	136	0.022059	123	0.804878	0.900342	741	0.276653	0.307000	0.316822	
726	0.303030	142	0.021127	132	0.787879	0.900342	726	0.303030	0.327000	0.316835	
696	0.306034	158	0.006329	146	0.726027	0.900342	696	0.306034	0.320000	0.316839	
718	0.291086	131	0.000000	151	0.827815	0.900342	718	0.291086	0.334000	0.316860	
722	0.267313	101	0.009901	177	0.740113	0.900342	722	0.267313	0.325000	0.316871	
699	0.278970	139	0.021583	162	0.746914	0.900342	699	0.278970	0.319000	0.316873	
745	0.304698	131	0.022901	124	0.750000	0.900342	745	0.304698	0.323000	0.316881	
737	0.297151	137	0.007299	126	0.761905	0.900342	737	0.297151	0.316000	0.316880	
704	0.312500	131	0.000000	165	0.739394	0.900342	704	0.312500	0.342000	0.316912	
718	0.298050	115	0.008696	167	0.730539	0.900342	718	0.298050	0.337000	0.316937	
712	0.311798	157	0.000000	131	0.786260	0.900342	712	0.311798	0.325000	0.316947	
694	0.291066	166	0.006024	140	0.757143	0.900342	694	0.291066	0.309000	0.316937	
737	0.321574	144	0.006944	119	0.831933	0.900342	737	0.321574	0.337000	0.316962	
738	0.276423	150	0.000000	112	0.723214	0.900342	738	0.276423	0.285000	0.316922	
715	0.304895	136	0.000000	149	0.771812	0.900342	715	0.304895	0.333000	0.316942	
709	0.337094	136	0.000000	155	0.748387	0.900342	709	0.337094	0.355000	0.316990	
728	0.303571	136	0.014706	136	0.786765	0.900342	728	0.303571	0.330000	0.317006	
