Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1269315673
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model_dep.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
1066000	-470.281916	1	2647	0.527359	0.000000	0.527359	0.527359	0.527359	0.527359	0.527359	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.977187	0.759537	0.910058	0.478667	0.226699	0.514531	0.326967	0.228443	
1067000	-470.368478	1	1899	0.535511	0.000000	0.535511	0.535511	0.535511	0.535511	0.535511	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.999697	0.506627	0.259971	0.724566	0.511339	0.705652	0.159159	0.977534	
1068000	-470.192444	1	284	0.513197	0.000000	0.513197	0.513197	0.513197	0.513197	0.513197	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.471359	0.077990	0.604635	0.557576	0.988511	0.160537	0.426229	0.928581	
1069000	-467.233699	1	3103	0.578396	0.000000	0.578396	0.578396	0.397331	0.397331	0.578396	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.214629	0.351234	0.219341	0.487128	0.180643	0.964802	0.551952	0.193309	
1070000	-470.263934	1	1794	0.485592	0.000000	0.485592	0.485592	0.485592	0.485592	0.485592	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.615892	0.539887	0.536131	0.092140	0.515459	0.103420	0.361958	0.110273	
1071000	-470.302080	1	1143	0.529483	0.000000	0.529483	0.529483	0.529483	0.529483	0.529483	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.455475	0.089937	0.948360	0.720168	0.710707	0.261022	0.505090	0.658367	
1072000	-470.350524	1	671	0.477692	0.000000	0.477692	0.477692	0.477692	0.477692	0.477692	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.663555	0.500880	0.763143	0.202210	0.263005	0.108613	0.751418	0.851742	
1073000	-470.185020	1	1156	0.510671	0.000000	0.510671	0.510671	0.510671	0.510671	0.510671	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.793930	0.516277	0.193364	0.404410	0.624053	0.341162	0.672836	0.055683	
1074000	-470.432450	1	710	0.472019	0.000000	0.472019	0.472019	0.472019	0.472019	0.472019	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.009131	0.655730	0.988639	0.088571	0.710828	0.397285	0.343518	0.948666	
1075000	-470.221804	1	2721	0.491092	0.000000	0.491092	0.491092	0.491092	0.491092	0.491092	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.503551	0.830777	0.631593	0.789129	0.729186	0.020381	0.219112	0.255192	
1076000	-470.237586	1	3577	0.488800	0.000000	0.488800	0.488800	0.488800	0.488800	0.488800	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.158584	0.658417	0.541158	0.233474	0.598543	0.898907	0.181246	0.862626	
1077000	-470.183265	1	2307	0.509889	0.000000	0.509889	0.509889	0.509889	0.509889	0.509889	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.747916	0.283709	0.110150	0.147474	0.491137	0.440031	0.710077	0.946309	
