Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2077959526
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   birds_nest_coparent_depRJ_KNOWN.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Scale Tree:                      0.010244
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,2.00) 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
571000	-305.966274	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.682342	0.682342	0.682342	0.682342	2.025723	2.025723	0.000000	0.682342	0.424423	0.543159	0.032191	0.000227	1.202348	
572000	-305.964330	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.522265	0.522265	0.522265	0.522265	1.879858	1.879858	0.000000	0.522265	0.458375	0.502732	0.038715	0.000179	1.776177	
573000	-305.785734	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.517509	0.517509	0.517509	0.517509	1.969325	1.969325	0.000000	0.517509	0.458955	0.499106	0.041744	0.000194	1.157208	
574000	-311.489503	1	2	2	'0 Z 0 0 1 1 Z 0 	D	0.820820	0.000000	0.820820	0.820820	2.295263	2.295263	0.000000	0.820820	0.202995	0.724018	0.071424	0.001562	1.660882	
575000	-305.607111	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.553552	0.553552	0.553552	0.553552	1.952088	1.952088	0.000000	0.553552	0.450887	0.511322	0.037599	0.000192	1.316829	
576000	-305.948330	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.535753	0.535753	0.535753	0.535753	2.436310	2.436310	0.000000	0.535753	0.451930	0.498042	0.049761	0.000267	1.002978	
577000	-306.150998	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.564344	0.564344	0.564344	0.564344	1.781662	1.781662	0.000000	0.564344	0.449228	0.518375	0.032235	0.000162	1.672834	
578000	-305.769720	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.514432	0.514432	0.514432	0.514432	2.264147	2.264147	0.000000	0.514432	0.457729	0.492864	0.049166	0.000241	1.084843	
579000	-305.861499	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.535688	0.535688	0.535688	0.535688	2.403793	2.403793	0.000000	0.535688	0.452149	0.498393	0.049195	0.000262	0.794826	
580000	-306.126616	1	2	0	'0 0 0 0 1 1 0 0 	D	0.557669	0.557669	0.557669	0.557669	2.059496	2.059496	0.557669	0.557669	0.253147	0.247865	0.379376	0.119612	0.638996	
581000	-305.905892	1	2	0	'0 0 0 0 1 1 0 0 	D	0.475461	0.475461	0.475461	0.475461	2.140840	2.140840	0.475461	0.475461	0.243383	0.208419	0.443611	0.104587	1.191557	
582000	-308.553357	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.416339	0.416339	0.416339	0.416339	1.686176	1.686176	0.000000	0.416339	0.485362	0.463626	0.050853	0.000159	0.577902	
583000	-309.155586	1	2	0	'0 0 0 0 0 1 0 0 	D	0.600671	0.600671	0.600671	0.600671	0.600671	2.945399	0.600671	0.600671	0.556425	0.272808	0.135887	0.034879	1.295223	
584000	-309.590830	1	2	0	'0 0 0 0 0 1 0 0 	D	0.521864	0.521864	0.521864	0.521864	0.521864	2.909172	0.521864	0.521864	0.619444	0.222567	0.134054	0.023935	1.895201	
585000	-314.106950	1	2	0	'0 0 0 0 0 1 0 0 	D	0.872727	0.872727	0.872727	0.872727	0.872727	2.106701	0.872727	0.872727	0.344919	0.420899	0.132524	0.101658	1.119309	
586000	-309.909030	1	2	0	'0 0 0 0 0 1 0 0 	D	0.521357	0.521357	0.521357	0.521357	0.521357	3.340025	0.521357	0.521357	0.651085	0.206325	0.122695	0.019895	1.537104	
587000	-311.664382	1	2	0	'1 1 1 1 1 0 1 1 	D	0.424087	0.424087	0.424087	0.424087	0.424087	3.009081	0.424087	0.424087	0.709220	0.149178	0.129211	0.012391	1.426184	
588000	-309.411275	1	2	0	'1 1 1 1 1 0 1 1 	D	0.540599	0.540599	0.540599	0.540599	0.540599	2.861254	0.540599	0.540599	0.599160	0.238312	0.135487	0.027042	1.384718	
589000	-309.928897	1	2	0	'1 1 1 1 1 0 1 1 	D	0.502737	0.502737	0.502737	0.502737	0.502737	2.719949	0.502737	0.502737	0.619661	0.219387	0.137410	0.023543	1.657722	
590000	-309.384225	1	2	0	'1 1 1 1 1 0 1 1 	D	0.543759	0.543759	0.543759	0.543759	0.543759	2.984078	0.543759	0.543759	0.606684	0.234107	0.133157	0.026052	1.013966	
591000	-309.224902	1	2	0	'1 1 1 1 1 0 1 1 	D	0.634235	0.634235	0.634235	0.634235	0.634235	2.866986	0.634235	0.634235	0.524065	0.296593	0.137897	0.041445	1.636677	
592000	-310.177768	1	2	1	'1 1 1 1 1 0 Z 1 	D	0.718028	0.718028	0.718028	0.718028	0.718028	2.693148	0.000000	0.718028	0.512568	0.478140	0.009220	0.000071	1.863119	
593000	-304.085912	1	3	0	'2 2 2 2 1 0 2 1 	D	0.486825	0.486825	0.486825	0.486825	0.836872	2.691512	0.486825	0.836872	0.410859	0.282596	0.236836	0.069709	0.879955	
594000	-309.625633	1	2	0	'1 1 1 1 1 0 1 1 	D	0.519281	0.519281	0.519281	0.519281	0.519281	2.874588	0.519281	0.519281	0.618799	0.222515	0.134714	0.023972	1.164139	
595000	-309.557714	1	2	0	'1 1 1 1 1 0 1 1 	D	0.685644	0.685644	0.685644	0.685644	0.685644	2.877913	0.685644	0.685644	0.488987	0.321658	0.139272	0.050083	1.530348	
596000	-310.164220	1	2	1	'1 1 1 1 1 0 Z 1 	D	0.666895	0.666895	0.666895	0.666895	0.666895	2.915453	0.000000	0.666895	0.564350	0.425662	0.009922	0.000066	1.753232	
597000	-309.632142	1	2	0	'1 1 1 1 1 0 1 1 	D	0.682389	0.682389	0.682389	0.682389	0.682389	3.185391	0.682389	0.682389	0.513735	0.305467	0.135993	0.044805	0.751403	
598000	-311.640400	1	2	0	'0 1 0 1 0 0 1 0 	D	1.219335	0.232433	1.219335	0.232433	1.219335	1.219335	0.232433	1.219335	0.211389	0.398886	0.182623	0.207102	0.954750	
